Precinct,Phone,Address,Latitude,Longitude
72nd Precinct,718-965-6311,830 4th Avenue,40.6583216,-74.0008623
73rd Precinct,718-495-5411,1470 East New York Avenue,40.6708918,-73.9135581
75th Precinct,718-827-3511,1000 Sutter Avenue,40.6711825,-73.8815541
76th Precinct,718-834-3211,191 Union Street,40.6838295,-74.0002227
77th Precinct,718-735-0611,127 Utica Avenue,40.6746488,-73.9302415
78th Precinct,718-636-6411,65 6th Avenue,40.7216471,-74.00549889999999
79th Precinct,718-636-6611,263 Tompkins Avenue,40.6888622,-73.94473049999999
81st Precinct,718-574-0411,30 Ralph Avenue,40.6896649,-73.92445479999999
83rd Precinct,718-574-1605,480 Knickerbocker Avenue,40.6981474,-73.91784109999999
84th Precinct,718-875-6811,301 Gold Street,40.6955481,-73.98291689999999
88th Precinct,718-636-6511,298 Classon Avenue,40.69007089999999,-73.9605316
90th Precinct,718-963-5311,211 Union Avenue,40.706273,-73.9507692
94th Precinct,718-383-3879,100 Meserole Avenue,40.7266755,-73.95329509999999
100th Precinct,718-318-4200,92-24 Rockaway Beach Boulevard,40.5862884,-73.8165078
101st Precinct,718-868-3400,16-12 Mott Avenue,40.6029091,-73.7499246
102nd Precinct,718-805-3200,87-34 118th Street,40.6987209,-73.8315671
103rd Precinct,718-657-8181,168-02 P.O Edward Byrne Ave.,40.7127753,-74.0059728
104th Precinct,718-386-3004,64-2 Catalpa Avenue,40.7043572,-73.89364859999999
105th Precinct,718-776-9090,92-08 222nd Street,40.7262254,-73.73514399999999
106th Precinct,718-845-2211,103-53 101st Street,40.6822031,-73.8397452
107th Precinct,718-969-5100,71-01 Parsons Boulevard,40.7299091,-73.8106143
108th Precinct,718-784-5411,5-47 50th Avenue,40.7430828,-73.95467239999999
109th Precinct,718-321-2250,37-05 Union Street,40.762361,-73.8270199
110th Precinct,718-476-9311,94-41 43rd Avenue,40.7452193,-73.8700695
111th Precinct,718-279-5200,45-06 215th Street,40.7602441,-73.76778089999999
112th Precinct,718-520-9311,68-40 Austin Street,40.7223599,-73.8513711
113th Precinct,718-712-7733,167-02 Baisley Boulevard,40.6798013,-73.7756864
114th Precinct,718-626-9311,34-16 Astoria Boulevard,40.7692816,-73.9153276
115th Precinct,718-533-2002,92-15 Northern Boulevard,40.7568764,-73.87549419999999
120th Precinct,718-876-8500,78 Richmond Terrace,40.6446553,-74.07741519999999
121st Precinct,718-697-8700,970 Richmond Avenue,40.62367649999999,-74.15034349999999
122nd Precinct,718-667-2211,2320 Hylan Boulevard,40.5741179,-74.1055058
123rd Precinct,718-948-9311,116 Main Street,40.5118436,-74.2500359
